ArrayTaskID date     time lead time
0           20020210 1200 120      
1           20020210 1800 114      
2           20020211 0000 108      
3           20020211 0600 102      
4           20020211 1200 96       
5           20020211 1800 90       
6           20020212 0000 84       
7           20020212 0600 78       
8           20020212 1200 72       
9           20020212 1800 66       
10          20020213 0000 60       
11          20020213 0600 54       
12          20020213 1200 48       
13          20020213 1800 42       
14          20020214 0000 36       
15          20020214 0600 30       
16          20020214 1200 24       
17          20020214 1800 18       
18          20020215 0000 12       
19          20020215 0600 6        
