ArrayTaskID date     time lead time
0           20040514 1800 120      
1           20040515 0000 114      
2           20040515 0600 108      
3           20040515 1200 102      
4           20040515 1800 96       
5           20040516 0000 90       
6           20040516 0600 84       
7           20040516 1200 78       
8           20040516 1800 72       
9           20040517 0000 66       
10          20040517 0600 60       
11          20040517 1200 54       
12          20040517 1800 48       
13          20040518 0000 42       
14          20040518 0600 36       
15          20040518 1200 30       
16          20040518 1800 24       
17          20040519 0000 18       
18          20040519 0600 12       
19          20040519 1200 6        
