ArrayTaskID date     time lead time
0           20170831 0600 78       
1           20170831 0600 96       
2           20170831 0600 150      
3           20170831 0600 168      
4           20170831 1200 48       
5           20170831 1200 72       
6           20170831 1200 90       
7           20170831 1200 144      
8           20170831 1200 168      
9           20170831 1800 42       
10          20170831 1800 66       
11          20170831 1800 84       
12          20170831 1800 138      
13          20170831 1800 168      
14          20170901 0000 36       
15          20170901 0000 60       
16          20170901 0000 78       
17          20170901 0000 132      
18          20170901 0000 168      
19          20170901 0600 30       
20          20170901 0600 54       
21          20170901 0600 72       
22          20170901 0600 126      
23          20170901 0600 168      
24          20170901 1200 24       
25          20170901 1200 48       
26          20170901 1200 66       
27          20170901 1200 120      
28          20170901 1200 168      
29          20170901 1800 18       
30          20170901 1800 42       
31          20170901 1800 60       
32          20170901 1800 114      
33          20170901 1800 168      
34          20170902 0000 12       
35          20170902 0000 36       
36          20170902 0000 54       
37          20170902 0000 108      
38          20170902 0000 168      
39          20170902 0600 6        
40          20170902 0600 30       
41          20170902 0600 48       
42          20170902 0600 102      
43          20170902 0600 168      
44          20170902 1200 24       
45          20170902 1200 42       
46          20170902 1200 96       
47          20170902 1200 168      
48          20170902 1800 18       
49          20170902 1800 36       
50          20170902 1800 90       
51          20170902 1800 168      
52          20170903 0000 12       
53          20170903 0000 30       
54          20170903 0000 84       
55          20170903 0000 168      
56          20170903 0600 6        
57          20170903 0600 24       
58          20170903 0600 78       
59          20170903 0600 168      
60          20170903 1200 18       
61          20170903 1200 72       
62          20170903 1200 102      
63          20170903 1200 168      
64          20170903 1800 12       
65          20170903 1800 66       
66          20170903 1800 96       
67          20170903 1800 168      
68          20170904 0000 6        
69          20170904 0000 60       
70          20170904 0000 90       
71          20170904 0000 168      
72          20170904 0600 54       
73          20170904 0600 84       
74          20170904 0600 168      
75          20170904 1200 48       
76          20170904 1200 78       
77          20170904 1200 168      
78          20170904 1800 42       
79          20170904 1800 72       
80          20170904 1800 168      
81          20170905 0000 36       
82          20170905 0000 66       
83          20170905 0000 168      
84          20170905 0600 30       
85          20170905 0600 60       
86          20170905 0600 168      
87          20170905 1200 24       
88          20170905 1200 54       
89          20170905 1200 96       
90          20170905 1200 168      
91          20170905 1800 18       
92          20170905 1800 48       
93          20170905 1800 90       
94          20170905 1800 168      
95          20170906 0000 12       
96          20170906 0000 42       
97          20170906 0000 84       
98          20170906 0000 168      
99          20170906 0600 6        
100         20170906 0600 36       
101         20170906 0600 78       
102         20170906 0600 168      
103         20170906 1200 30       
104         20170906 1200 72       
105         20170906 1200 168      
106         20170906 1800 24       
107         20170906 1800 66       
108         20170906 1800 162      
109         20170906 1800 168      
110         20170907 0000 18       
111         20170907 0000 60       
112         20170907 0000 156      
113         20170907 0000 168      
114         20170907 0600 12       
115         20170907 0600 54       
116         20170907 0600 150      
117         20170907 0600 168      
118         20170907 1200 6        
119         20170907 1200 48       
120         20170907 1200 144      
121         20170907 1200 168      
122         20170907 1800 42       
123         20170907 1800 138      
124         20170907 1800 168      
125         20170908 0000 36       
126         20170908 0000 132      
127         20170908 0000 168      
128         20170908 0600 30       
