ArrayTaskID date     time lead time
0           20200301 0000 168      
1           20200301 1200 168      
2           20200302 0000 168      
3           20200302 1200 168      
4           20200303 0000 168      
5           20200303 1200 168      
6           20200304 0000 168      
7           20200304 1200 168      
8           20200305 0000 168      
9           20200305 1200 168      
10          20200306 0000 168      
11          20200306 1200 168      
12          20200307 0000 168      
13          20200307 1200 168      
14          20200308 0000 168      
15          20200308 1200 168      
16          20200309 0000 168      
17          20200309 1200 168      
18          20200310 0000 168      
19          20200310 1200 168      
20          20200311 0000 168      
21          20200311 1200 168      
22          20200312 0000 168      
23          20200312 1200 168      
24          20200313 0000 168      
25          20200313 1200 168      
26          20200314 0000 168      
27          20200314 1200 168      
28          20200315 0000 168      
29          20200315 1200 168      
30          20200316 0000 168      
31          20200316 1200 168      
32          20200317 0000 168      
33          20200317 1200 168      
34          20200318 0000 168      
35          20200318 1200 168      
36          20200319 0000 168      
37          20200319 1200 168      
38          20200320 0000 168      
39          20200320 1200 168      
40          20200321 0000 168      
41          20200321 1200 168      
42          20200322 0000 168      
43          20200322 1200 168      
44          20200323 0000 168      
45          20200323 1200 168      
46          20200324 0000 168      
47          20200324 1200 168      
48          20200325 0000 168      
49          20200325 1200 168      
50          20200326 0000 168      
51          20200326 1200 168      
52          20200327 0000 168      
53          20200327 1200 168      
54          20200328 0000 168      
55          20200328 1200 168      
56          20200329 0000 168      
57          20200329 1200 168      
58          20200330 0000 168      
59          20200330 1200 168      
60          20200331 0000 168      
61          20200331 1200 168      
62          20200401 0000 168      
63          20200401 1200 168      
64          20200402 0000 168      
65          20200402 1200 168      
66          20200403 0000 168      
67          20200403 1200 168      
68          20200404 0000 168      
69          20200404 1200 168      
70          20200405 0000 168      
71          20200405 1200 168      
72          20200406 0000 168      
73          20200406 1200 168      
74          20200407 0000 168      
75          20200407 1200 168      
76          20200408 0000 168      
77          20200408 1200 168      
78          20200409 0000 168      
79          20200409 1200 168      
80          20200410 0000 168      
81          20200410 1200 168      
82          20200411 0000 168      
83          20200411 1200 168      
84          20200412 0000 168      
85          20200412 1200 168      
86          20200413 0000 168      
87          20200413 1200 168      
88          20200414 0000 168      
89          20200414 1200 168      
90          20200415 0000 168      
91          20200415 1200 168      
92          20200416 0000 168      
93          20200416 1200 168      
94          20200417 0000 168      
95          20200417 1200 168      
96          20200418 0000 168      
97          20200418 1200 168      
98          20200419 0000 168      
99          20200419 1200 168      
100         20200420 0000 168      
101         20200420 1200 168      
102         20200421 0000 168      
103         20200421 1200 168      
104         20200422 0000 168      
105         20200422 1200 168      
106         20200423 0000 168      
107         20200423 1200 168      
108         20200424 0000 168      
109         20200424 1200 168      
110         20200425 0000 168      
111         20200425 1200 168      
112         20200426 0000 168      
113         20200426 1200 168      
114         20200427 0000 168      
115         20200427 1200 168      
116         20200428 0000 168      
117         20200428 1200 168      
118         20200429 0000 168      
119         20200429 1200 168      
120         20200430 0000 168      
121         20200430 1200 168      
122         20200501 0000 168      
123         20200501 1200 168      
124         20200502 0000 168      
125         20200502 1200 168      
126         20200503 0000 168      
127         20200503 1200 168      
128         20200504 0000 168      
129         20200504 1200 168      
130         20200505 0000 168      
131         20200505 1200 168      
132         20200506 0000 168      
133         20200506 1200 168      
134         20200507 0000 168      
135         20200507 1200 168      
136         20200508 0000 168      
137         20200508 1200 168      
138         20200509 0000 168      
139         20200509 1200 168      
140         20200510 0000 168      
141         20200510 1200 168      
142         20200511 0000 168      
143         20200511 1200 168      
144         20200512 0000 168      
145         20200512 1200 168      
146         20200513 0000 168      
147         20200513 1200 168      
148         20200514 0000 168      
149         20200514 1200 168      
150         20200515 0000 168      
151         20200515 1200 168      
152         20200516 0000 168      
153         20200516 1200 168      
154         20200517 0000 168      
155         20200517 1200 168      
156         20200518 0000 168      
157         20200518 1200 168      
158         20200519 0000 168      
159         20200519 1200 168      
160         20200520 0000 168      
161         20200520 1200 168      
162         20200521 0000 168      
163         20200521 1200 168      
164         20200522 0000 168      
165         20200522 1200 168      
166         20200523 0000 168      
167         20200523 1200 168      
168         20200524 0000 168      
169         20200524 1200 168      
170         20200525 0000 168      
171         20200525 1200 168      
172         20200526 0000 168      
173         20200526 1200 168      
174         20200527 0000 168      
175         20200527 1200 168      
176         20200528 0000 168      
177         20200528 1200 168      
178         20200529 0000 168      
179         20200529 1200 168      
180         20200530 0000 168      
181         20200530 1200 168      
182         20200531 0000 168      
183         20200531 1200 168      
184         20200601 0000 168      
185         20200601 1200 168      
186         20200602 0000 168      
187         20200602 1200 168      
188         20200603 0000 168      
189         20200603 1200 168      
190         20200604 0000 168      
191         20200604 1200 168      
192         20200605 0000 168      
193         20200605 1200 168      
194         20200606 0000 168      
195         20200606 1200 168      
196         20200607 0000 168      
197         20200607 1200 168      
198         20200608 0000 168      
199         20200608 1200 168      
200         20200609 0000 168      
201         20200609 1200 168      
202         20200610 0000 168      
203         20200610 1200 168      
204         20200611 0000 168      
205         20200611 1200 168      
206         20200612 0000 168      
207         20200612 1200 168      
208         20200613 0000 168      
209         20200613 1200 168      
210         20200614 0000 168      
211         20200614 1200 168      
212         20200615 0000 168      
213         20200615 1200 168      
214         20200616 0000 168      
215         20200616 1200 168      
216         20200617 0000 168      
217         20200617 1200 168      
218         20200618 0000 168      
219         20200618 1200 168      
220         20200619 0000 168      
221         20200619 1200 168      
222         20200620 0000 168      
223         20200620 1200 168      
224         20200621 0000 168      
225         20200621 1200 168      
226         20200622 0000 168      
227         20200622 1200 168      
228         20200623 0000 168      
229         20200623 1200 168      
230         20200624 0000 168      
231         20200624 1200 168      
232         20200625 0000 168      
233         20200625 1200 168      
234         20200626 0000 168      
235         20200626 1200 168      
236         20200627 0000 168      
237         20200627 1200 168      
238         20200628 0000 168      
239         20200628 1200 168      
240         20200629 0000 168      
241         20200629 1200 168      
242         20200630 0000 168      
243         20200630 1200 168      
244         20200701 0000 168      
245         20200701 1200 168      
246         20200702 0000 168      
247         20200702 1200 168      
248         20200703 0000 168      
249         20200703 1200 168      
250         20200704 0000 168      
251         20200704 1200 168      
252         20200705 0000 168      
253         20200705 1200 168      
254         20200706 0000 168      
255         20200706 1200 168      
256         20200707 0000 168      
257         20200707 1200 168      
258         20200708 0000 168      
259         20200708 1200 168      
260         20200709 0000 168      
261         20200709 1200 168      
262         20200710 0000 168      
263         20200710 1200 168      
264         20200711 0000 168      
265         20200711 1200 168      
266         20200712 0000 168      
267         20200712 1200 168      
268         20200713 0000 168      
269         20200713 1200 168      
270         20200714 0000 168      
271         20200714 1200 168      
272         20200715 0000 168      
273         20200715 1200 168      
274         20200716 0000 168      
275         20200716 1200 168      
276         20200717 0000 168      
277         20200717 1200 168      
278         20200718 0000 168      
279         20200718 1200 168      
280         20200719 0000 168      
281         20200719 1200 168      
282         20200720 0000 168      
283         20200720 1200 168      
284         20200721 0000 168      
285         20200721 1200 168      
286         20200722 0000 168      
287         20200722 1200 168      
288         20200723 0000 168      
289         20200723 1200 168      
290         20200724 0000 168      
291         20200724 1200 168      
292         20200725 0000 168      
293         20200725 1200 168      
294         20200726 0000 168      
295         20200726 1200 168      
296         20200727 0000 168      
297         20200727 1200 168      
298         20200728 0000 168      
299         20200728 1200 168      
300         20200729 0000 168      
301         20200729 1200 168      
302         20200730 0000 168      
303         20200730 1200 168      
304         20200731 0000 168      
305         20200731 1200 168      
306         20200801 0000 168      
307         20200801 1200 168      
308         20200802 0000 168      
309         20200802 1200 168      
310         20200803 0000 168      
311         20200803 1200 168      
312         20200804 0000 168      
313         20200804 1200 168      
314         20200805 0000 168      
315         20200805 1200 168      
316         20200806 0000 168      
317         20200806 1200 168      
318         20200807 0000 168      
319         20200807 1200 168      
320         20200808 0000 168      
321         20200808 1200 168      
322         20200809 0000 168      
323         20200809 1200 168      
324         20200810 0000 168      
325         20200810 1200 168      
326         20200811 0000 168      
327         20200811 1200 168      
328         20200812 0000 168      
329         20200812 1200 168      
330         20200813 0000 168      
331         20200813 1200 168      
332         20200814 0000 168      
333         20200814 1200 168      
334         20200815 0000 168      
335         20200815 1200 168      
336         20200816 0000 168      
337         20200816 1200 168      
338         20200817 0000 168      
339         20200817 1200 168      
340         20200818 0000 168      
341         20200818 1200 168      
342         20200819 0000 168      
343         20200819 1200 168      
344         20200820 0000 168      
345         20200820 1200 168      
346         20200821 0000 168      
347         20200821 1200 168      
348         20200822 0000 168      
349         20200822 1200 168      
350         20200823 0000 168      
351         20200823 1200 168      
352         20200824 0000 168      
