ArrayTaskID date     time lead time
0           20191122 0000 168      
1           20191122 0600 162      
2           20191122 1200 156      
3           20191122 1800 150      
4           20191123 0000 144      
5           20191123 0600 138      
6           20191123 1200 132      
7           20191123 1800 126      
8           20191124 0000 120      
9           20191124 0600 114      
10          20191124 1200 108      
11          20191124 1800 102      
12          20191125 0000 96       
13          20191125 0600 90       
14          20191125 1200 84       
15          20191125 1800 78       
16          20191126 0000 72       
17          20191126 0600 66       
18          20191126 1200 60       
19          20191126 1800 54       
20          20191127 0000 48       
21          20191127 0600 42       
22          20191127 1200 36       
23          20191127 1800 30       
24          20191128 0000 24       
25          20191128 0600 18       
26          20191128 1200 12       
27          20191128 1800 6        
